parm_cd,group,parm_nm,parm_unit
1,Information,"Location in cross section, distance from right bank looking upstream, feet",ft
2,Information,"Location in cross section, distance from right bank looking upstream, percent",%
3,Information,"Sampling depth, feet",ft
4,Physical,"Stream width, feet",ft
5,Information,"Location in cross section, fraction of total depth, percent",%
8,Information,Sample accounting number,nu
9,Information,"Location in cross section, distance from left bank looking downstream, feet",ft
10,Physical,"Temperature, water, degrees Celsius",deg C
11,Physical,"Temperature, water, degrees Fahrenheit",deg F
12,Physical,"Evaporation temperature, 48-inch pan, degrees Celsius",deg C
13,Physical,"Evaporation temperature, 24-inch pan, degrees Celsius",deg C
14,Physical,"Wet bulb temperature, degrees Celsius",deg C
20,Physical,"Temperature, air, degrees Celsius",deg C
21,Physical,"Temperature, air, degrees Fahrenheit",deg F
22,Information,"Duration of exposure, sample or test, days",days
23,Information,"Sample weight, pounds",lb
24,Information,"Sample length, inches",in
25,Physical,"Barometric pressure, millimeters of mercury",mm/Hg
28,Information,"Agency analyzing sample, code",code
29,Information,Project number,nu
30,Physical,"Incident solar radiation intensity, calories per square centimeter per day",cal/cm2/d
31,Physical,"Incident light remaining at depth, percent",%
32,Physical,"Cloud cover, percent",%
34,Physical,"Depth to 1 percent of surface light, feet",ft
35,Physical,"Wind speed, miles per hour",mph
36,Physical,"Wind direction, degrees clockwise from true north",Deg
41,Information,"Weather, World Meteorological Organization (WMO) code",WMO code
42,Information,"Altitude, feet above mean sea level",ft abv MSL
45,Physical,"Precipitation, total, inches",in
46,Physical,"Precipitation, total, inches per week",in/week
47,Physical,"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",mm/Hg
48,Physical,"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",%
49,Physical,"Surface area, square miles",mi2
50,Physical,"Evaporation rate, inches per day",inches/day
51,Physical,"Surface area, square feet",ft2
52,Physical,"Relative humidity, percent",%
53,Physical,"Surface area, acres",ac
54,Information,"Reservoir storage, acre-feet",ac-ft
55,Physical,"Stream velocity, feet per second",ft/sec
56,Physical,"Flow rate of well, gallons per day",gal/day
58,Physical,"Flow rate of well, gallons per minute",gal/min
59,Physical,"Flow rate, instantaneous, gallons per minute",gal/min
60,Physical,"Discharge, cubic feet per second",ft3/s
61,Physical,"Discharge, instantaneous, cubic feet per second",ft3/s
62,Physical,"Elevation of reservoir water surface above datum, feet",ft
63,Information,"Number of sampling points, count",count
64,Physical,"Mean depth of stream, feet",ft
65,Physical,"Gage height, feet",ft
67,Physical,"Tide stage, code",code
70,Physical,"Turbidity, water, unfiltered, Jackson Turbidity Units",JTU
72,Physical,"Stream stage, meters",m
74,Physical,"Light transmission, 1 meter path length, water, unfiltered, percent",%
75,Physical,"Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide",mg/l SiO2
76,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",NTU
77,Physical,"Transparency, water, in situ, Secchi disc, inches",in
78,Physical,"Transparency, water, in situ, Secchi disc, meters",m
80,Physical,"Color, water, filtered, platinum cobalt units",PCU
81,Physical,"Apparent color, water, unfiltered, platinum-cobalt units",PCU
85,Physical,"Odor at room temperature, threshold odor number",TON
86,Physical,"Odor at 60 degrees Celsius, threshold odor number",TON
90,Physical,"Oxidation reduction potential, reference electrode not specified, millivolts",mV
94,Physical,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C
95,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C
96,Physical,"Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius",mg/mL @25C
98,Information,"Sampling depth, meters",m
100,Information,"Time of travel, hours",hours
115,Information,"Sample treatment, code",code
117,Information,"Precipitation, duration of storm event, minutes",minutes
118,Physical,"Precipitation, cumulative at given time, location 6, inches",in
119,Physical,"Precipitation, cumulative at given time, location 5, inches",in
120,Physical,"Precipitation, cumulative at given time, location 4, inches",in
121,Physical,"Precipitation, cumulative at given time, location 3, inches",in
122,Physical,"Precipitation, cumulative at given time, location 2, inches",in
