agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
USGS,05320000,00060,73386,,1909,198.1,92
USGS,05320000,00060,73386,,1910,137.3,214
USGS,05320000,00060,73386,,1939,27.3,92
USGS,05320000,00060,73386,,1940,169.3,366
USGS,05320000,00060,73386,,1941,955.1,365
USGS,05320000,00060,73386,,1942,739.0,365
USGS,05320000,00060,73386,,1943,1317.0,365
USGS,05320000,00060,73386,,1944,1241.0,366
USGS,05320000,00060,73386,,1945,1497.0,272
USGS,05320000,00060,73386,,1949,52.9,153
USGS,05320000,00060,73386,,1950,212.2,365
USGS,05320000,00060,73386,,1951,1697.0,365
USGS,05320000,00060,73386,,1952,942.7,366
USGS,05320000,00060,73386,,1953,963.7,365
USGS,05320000,00060,73386,,1954,521.4,365
USGS,05320000,00060,73386,,1955,278.3,365
USGS,05320000,00060,73386,,1956,339.7,366
USGS,05320000,00060,73386,,1957,224.5,365
USGS,05320000,00060,73386,,1958,157.3,365
USGS,05320000,00060,73386,,1959,249.3,365
USGS,05320000,00060,73386,,1960,1053.0,366
USGS,05320000,00060,73386,,1961,815.2,365
USGS,05320000,00060,73386,,1962,1241.0,365
USGS,05320000,00060,73386,,1963,824.9,365
USGS,05320000,00060,73386,,1964,650.1,366
USGS,05320000,00060,73386,,1965,1952.0,365
USGS,05320000,00060,73386,,1966,639.5,365
USGS,05320000,00060,73386,,1967,760.9,365
USGS,05320000,00060,73386,,1968,1038.0,366
USGS,05320000,00060,73386,,1969,1737.0,365
USGS,05320000,00060,73386,,1970,677.8,365
USGS,05320000,00060,73386,,1971,1006.0,365
USGS,05320000,00060,73386,,1972,721.8,366
USGS,05320000,00060,73386,,1973,1215.0,365
USGS,05320000,00060,73386,,1974,808.2,365
USGS,05320000,00060,73386,,1975,897.2,365
USGS,05320000,00060,73386,,1976,130.2,366
USGS,05320000,00060,73386,,1977,175.0,365
USGS,05320000,00060,73386,,1978,621.3,365
USGS,05320000,00060,73386,,1979,1950.0,365
USGS,05320000,00060,73386,,1980,870.5,366
USGS,05320000,00060,73386,,1981,911.2,365
USGS,05320000,00060,73386,,1982,1610.0,365
USGS,05320000,00060,73386,,1983,2440.0,365
USGS,05320000,00060,73386,,1984,1900.0,366
USGS,05320000,00060,73386,,1985,1063.0,365
USGS,05320000,00060,73386,,1986,1820.0,365
USGS,05320000,00060,73386,,1987,366.8,365
USGS,05320000,00060,73386,,1988,346.7,366
USGS,05320000,00060,73386,,1989,176.8,365
USGS,05320000,00060,73386,,1990,547.6,365
USGS,05320000,00060,73386,,1991,2231.0,365
USGS,05320000,00060,73386,,1992,2350.0,366
USGS,05320000,00060,73386,,1993,4229.0,365
USGS,05320000,00060,73386,,1994,1729.0,365
USGS,05320000,00060,73386,,1995,1649.0,365
USGS,05320000,00060,73386,,1996,1158.0,366
USGS,05320000,00060,73386,,1997,1468.0,365
USGS,05320000,00060,73386,,1998,1358.0,365
USGS,05320000,00060,73386,,1999,1697.0,365
USGS,05320000,00060,73386,,2000,567.8,366
USGS,05320000,00060,73386,,2001,2187.0,365
USGS,05320000,00060,73386,,2002,626.2,365
USGS,05320000,00060,73386,,2003,657.0,365
USGS,05320000,00060,73386,,2004,1378.0,366
USGS,05320000,00060,73386,,2005,1768.0,365
USGS,05320000,00060,73386,,2006,1581.0,365
USGS,05320000,00060,73386,,2007,1593.0,365
USGS,05320000,00060,73386,,2008,1185.0,366
USGS,05320000,00060,73386,,2009,703.1,365
USGS,05320000,00060,73386,,2010,3048.0,365
USGS,05320000,00060,73386,,2011,2409.0,365
USGS,05320000,00060,73386,,2012,495.0,366
USGS,05320000,00060,73386,,2013,961.6,365
USGS,05320000,00060,73386,,2014,906.2,365
USGS,05320000,00060,73386,,2015,793.8,365
USGS,05320000,00060,73386,,2016,3198.0,366
USGS,05320000,00060,73386,,2017,1514.0,365
USGS,05320000,00060,73386,,2018,3604.0,365
USGS,05320000,00060,73386,,2019,3596.0,365
USGS,05320000,00060,73386,,2020,1581.0,366
USGS,05320000,00060,73386,,2021,446.0,365
USGS,05320000,00060,73386,,2022,785.3,365
USGS,05320000,00060,73386,,2023,1103.0,365
USGS,05320000,00060,73386,,2024,2922.0,298
