Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1996-03-14,0.20,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-04-24,0.40,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-05-28,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-06-12,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-06-17,0.30,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-07-09,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-08-07,0.40,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-08-26,0.30,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-09-03,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-10-02,0.40,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-11-04,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1996-12-10,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-01-13,0.40,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-02-12,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-03-05,0.30,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-03-18,0.30,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-04-08,0.39,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-04-16,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-04-24,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-04-28,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-05-08,0.47,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-05-15,0.51,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-05-22,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-05-28,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-06-05,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-06-09,0.49,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-06-18,0.54,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-06-23,0.44,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-03,0.55,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-11,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-16,0.47,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-24,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-31,0.55,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-08,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-15,0.41,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-20,0.40,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-26,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-09-09,0.39,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-10-28,0.52,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-11-20,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-12-18,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
