Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1997-04-24,4.2,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-05-08,4.2,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-05-22,4.3,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-05-28,3.8,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-06-09,4.4,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-06-23,3.5,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-07-11,4.1,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-08-08,4.8,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-08-18,3.8,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-08-20,3.3,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-09-09,2.8,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-10-28,4.6,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-11-20,2.2,ug/L,Metochlor ESA,,"Organics, Pesticide"
1997-12-18,3.6,ug/L,Metochlor ESA,,"Organics, Pesticide"
1998-01-08,3.5,ug/L,Metochlor ESA,,"Organics, Pesticide"
1998-02-05,2.8,ug/L,Metochlor ESA,,"Organics, Pesticide"
1998-03-30,2.6,ug/L,Metochlor ESA,,"Organics, Pesticide"
1998-04-20,2.2,ug/L,Metochlor ESA,,"Organics, Pesticide"
1998-05-14,4.9,ug/L,Metochlor ESA,,"Organics, Pesticide"
1998-05-18,4.3,ug/L,Metochlor ESA,,"Organics, Pesticide"
2004-10-07,1.57,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
2005-10-12,1.13,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
2005-11-03,1.14,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
2005-12-20,0.93,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
2006-01-11,1.29,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
2006-02-22,1.52,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
2006-03-22,0.69,ug/L,Metochlor ESA,"DESCRIPTION: Acetamide Herbicides and Degradates in Filtered Water by SPE and LC-MS (Kansas Lab Schedule LCPD); CITATION(S): Lee, E.A., Strahan, A.P., 2003, Methods of analysis by the U.S. Geological Survey Organic Geochemistry Research Group--Determination of acetamide herbicides and their degradation products in water using online solid-phase extraction and liquid chromatography/mass spectrometry:  U.S. Geological Survey Open-File Report 03-173, 17 p. | USGS | O-2139-03","Organics, Pesticide"
