agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,ad,,,0,,wat,,0,0,2006,2012,7
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,10.0,1.0,73391,,wat,,1645597,0,1996-04-12,2006-08-26,903
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,10.0,2.0,73392,,wat,,1645597,0,1996-04-12,2006-08-26,901
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,10.0,3.0,73393,,wat,,1645597,0,1996-04-12,2006-08-26,900
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,60.0,3.0,73387,,wat,,1645423,0,1996-04-01,2012-10-14,5581
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,95.0,1.0,73397,,wat,,1646694,0,1996-04-12,2006-08-22,895
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,95.0,2.0,73398,,wat,,1646694,0,1996-04-12,2006-08-22,895
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,95.0,3.0,73399,,wat,,1646694,0,1996-04-12,2006-08-22,894
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,300.0,1.0,73400,,wat,,1736457,0,2005-06-08,2006-08-26,111
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,300.0,2.0,73401,,wat,,1736457,0,2005-06-08,2006-08-26,112
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,dv,300.0,3.0,73402,,wat,,1736457,0,2005-06-08,2006-08-26,110
