agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1939,10,10.9,31
USGS,05320500,00060,325200,,1939,11,11.9,30
USGS,05320500,00060,325200,,1939,12,11.9,31
USGS,05320500,00060,325200,,1940,1,5.82,31
USGS,05320500,00060,325200,,1940,2,4.65,29
USGS,05320500,00060,325200,,1940,3,47.1,31
USGS,05320500,00060,325200,,1940,4,97.9,30
USGS,05320500,00060,325200,,1940,5,18.8,31
USGS,05320500,00060,325200,,1940,6,282.5,30
USGS,05320500,00060,325200,,1940,7,46.0,31
USGS,05320500,00060,325200,,1940,8,74.5,31
USGS,05320500,00060,325200,,1940,9,46.2,30
USGS,05320500,00060,325200,,1940,10,19.6,31
USGS,05320500,00060,325200,,1940,11,97.9,30
USGS,05320500,00060,325200,,1940,12,92.6,31
USGS,05320500,00060,325200,,1941,1,78.9,31
USGS,05320500,00060,325200,,1941,2,56.6,28
USGS,05320500,00060,325200,,1941,3,1079.0,31
USGS,05320500,00060,325200,,1941,4,1097.0,30
USGS,05320500,00060,325200,,1941,5,222.9,31
USGS,05320500,00060,325200,,1941,6,470.5,30
USGS,05320500,00060,325200,,1941,7,153.0,31
USGS,05320500,00060,325200,,1941,8,28.0,31
USGS,05320500,00060,325200,,1941,9,16.6,30
USGS,05320500,00060,325200,,1941,10,61.9,31
USGS,05320500,00060,325200,,1941,11,257.1,30
USGS,05320500,00060,325200,,1941,12,117.6,31
USGS,05320500,00060,325200,,1942,1,62.8,31
USGS,05320500,00060,325200,,1942,2,92.7,28
USGS,05320500,00060,325200,,1942,3,283.7,31
USGS,05320500,00060,325200,,1942,4,325.2,30
USGS,05320500,00060,325200,,1942,5,472.3,31
USGS,05320500,00060,325200,,1942,6,599.3,30
USGS,05320500,00060,325200,,1942,7,236.0,31
USGS,05320500,00060,325200,,1942,8,405.6,31
USGS,05320500,00060,325200,,1942,9,484.5,30
USGS,05320500,00060,325200,,1942,10,314.6,31
USGS,05320500,00060,325200,,1942,11,114.9,30
USGS,05320500,00060,325200,,1942,12,53.3,31
USGS,05320500,00060,325200,,1943,1,47.1,31
USGS,05320500,00060,325200,,1943,2,74.7,28
USGS,05320500,00060,325200,,1943,3,1251.0,31
USGS,05320500,00060,325200,,1943,4,787.6,30
USGS,05320500,00060,325200,,1943,5,465.4,31
USGS,05320500,00060,325200,,1943,6,1147.0,30
USGS,05320500,00060,325200,,1943,7,823.7,31
USGS,05320500,00060,325200,,1943,8,386.6,31
USGS,05320500,00060,325200,,1943,9,522.3,30
USGS,05320500,00060,325200,,1943,10,84.2,31
USGS,05320500,00060,325200,,1943,11,148.0,30
USGS,05320500,00060,325200,,1943,12,100.8,31
USGS,05320500,00060,325200,,1944,1,39.7,31
USGS,05320500,00060,325200,,1944,2,132.7,29
USGS,05320500,00060,325200,,1944,3,454.8,31
USGS,05320500,00060,325200,,1944,4,855.3,30
USGS,05320500,00060,325200,,1944,5,2435.0,31
USGS,05320500,00060,325200,,1944,6,1901.0,30
USGS,05320500,00060,325200,,1944,7,607.9,31
USGS,05320500,00060,325200,,1944,8,133.8,31
USGS,05320500,00060,325200,,1944,9,180.2,30
USGS,05320500,00060,325200,,1944,10,45.6,31
USGS,05320500,00060,325200,,1944,11,36.1,30
USGS,05320500,00060,325200,,1944,12,32.3,31
USGS,05320500,00060,325200,,1945,1,19.5,31
USGS,05320500,00060,325200,,1945,2,24.4,28
USGS,05320500,00060,325200,,1945,3,1086.0,31
USGS,05320500,00060,325200,,1945,4,1252.0,30
USGS,05320500,00060,325200,,1945,5,1222.0,31
USGS,05320500,00060,325200,,1945,6,1924.0,30
USGS,05320500,00060,325200,,1945,7,874.5,31
USGS,05320500,00060,325200,,1945,8,394.8,31
