Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1994-03-04,0.30,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-03-09,0.48,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-03-16,0.46,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-03-23,0.29,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-03-30,0.22,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-04-05,0.11,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-04-13,0.19,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-04-20,0.16,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-04-26,0.40,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-05-03,0.24,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-05-09,0.12,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-05-16,0.11,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
