agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,05325000,80154,73410,,1,1,1968,2017,50,2005,297,1991,10.0,87,18.0,28,46,48,64,120,135,191,224.0
USGS,05325000,80154,73410,,1,2,1968,2017,50,2005,281,1991,10.0,86,19.0,26,46,48,62,116,135,190,222.0
USGS,05325000,80154,73410,,1,3,1968,2017,50,2005,253,1991,10.0,84,18.0,24,46,48,58,111,134,188,221.0
USGS,05325000,80154,73410,,1,4,1968,2017,50,2005,236,1991,10.0,83,18.0,23,45,47,56,109,134,188,218.0
USGS,05325000,80154,73410,,1,5,1968,2017,50,2006,231,1991,10.0,82,21.0,23,45,47,56,108,132,187,213.0
USGS,05325000,80154,73410,,1,6,1968,2017,50,2006,228,1991,10.0,81,21.0,28,45,46,55,108,129,186,209.0
USGS,05325000,80154,73410,,1,7,1968,2017,50,2006,225,1991,10.0,81,21.0,25,42,45,56,107,126,185,203.0
USGS,05325000,80154,73410,,1,8,1968,2017,50,2006,224,1991,10.0,80,21.0,23,40,45,56,105,124,185,201.0
USGS,05325000,80154,73410,,1,9,1968,2017,50,2006,220,1991,10.0,79,20.0,22,39,45,56,104,121,183,198.0
USGS,05325000,80154,73410,,1,10,1968,2017,50,2006,218,1991,10.0,79,20.0,22,39,45,56,109,119,183,197.0
USGS,05325000,80154,73410,,1,11,1968,2017,50,2006,215,1991,10.0,79,19.0,23,42,45,55,109,130,181,195.0
USGS,05325000,80154,73410,,1,12,1968,2017,50,2006,215,1991,10.0,81,17.0,23,43,45,56,107,130,180,193.0
USGS,05325000,80154,73410,,1,13,1968,2017,50,2006,213,1991,10.0,82,17.0,22,44,46,56,111,134,179,190.0
USGS,05325000,80154,73410,,1,14,1968,2017,50,2006,209,1991,10.0,81,17.0,21,43,46,56,109,130,178,188.0
USGS,05325000,80154,73410,,1,15,1968,2017,50,2006,206,1991,9.0,79,19.0,20,41,47,56,107,125,177,187.0
USGS,05325000,80154,73410,,1,16,1968,2017,50,2006,206,1991,9.0,80,19.0,21,39,46,57,107,129,170,186.0
USGS,05325000,80154,73410,,1,17,1968,2017,50,2006,202,1991,9.0,78,18.0,24,38,45,58,104,123,168,185.0
USGS,05325000,80154,73410,,1,18,1968,2017,50,2006,202,1991,9.0,78,18.0,25,37,45,59,105,121,164,184.0
USGS,05325000,80154,73410,,1,19,1968,2017,50,2006,202,1991,9.0,78,17.0,25,37,46,62,105,120,162,184.0
USGS,05325000,80154,73410,,1,20,1968,2017,50,2006,201,2012,16.0,78,18.0,26,38,45,61,105,118,161,183.0
USGS,05325000,80154,73410,,1,21,1968,2017,50,2006,200,2012,15.0,78,18.0,27,38,44,60,106,120,160,182.0
USGS,05325000,80154,73410,,1,22,1968,2017,50,2006,200,2012,15.0,78,17.0,33,38,43,63,106,119,167,181.0
USGS,05325000,80154,73410,,1,23,1968,2017,50,2006,198,2012,14.0,78,17.0,30,36,42,62,105,123,169,181.0
USGS,05325000,80154,73410,,1,24,1968,2017,50,2006,198,2012,14.0,77,17.0,33,37,41,59,105,122,168,183.0
USGS,05325000,80154,73410,,1,25,1968,2017,50,2006,197,2012,13.0,77,17.0,32,37,41,58,105,120,168,182.0
USGS,05325000,80154,73410,,1,26,1968,2017,50,2006,197,2012,13.0,76,17.0,30,37,40,58,104,117,168,178.0
USGS,05325000,80154,73410,,1,27,1968,2017,50,2006,201,2012,12.0,75,17.0,29,37,39,58,105,115,168,175.0
USGS,05325000,80154,73410,,1,28,1968,2017,50,2006,209,2012,12.0,75,16.0,30,37,40,56,104,113,168,172.0
USGS,05325000,80154,73410,,1,29,1968,2017,50,2006,244,2012,11.0,76,16.0,29,38,41,56,104,112,166,167.0
USGS,05325000,80154,73410,,1,30,1968,2017,50,2006,332,2012,11.0,77,16.0,28,39,40,56,104,110,163,165.0
USGS,05325000,80154,73410,,1,31,1968,2017,50,2006,457,2012,10.0,79,16.0,27,40,42,57,104,109,157,164.0
USGS,05325000,80154,73410,,2,1,1968,2017,50,2006,402,2012,9.0,77,16.0,27,40,45,57,103,109,153,163.0
USGS,05325000,80154,73410,,2,2,1968,2017,50,2006,370,2012,9.0,77,16.0,26,40,45,56,105,110,150,161.0
USGS,05325000,80154,73410,,2,3,1968,2017,50,2006,344,2012,9.0,77,16.0,28,40,46,55,107,115,144,160.0
USGS,05325000,80154,73410,,2,4,1968,2017,50,2006,313,2012,9.0,77,15.0,30,40,46,55,107,120,142,159.0
USGS,05325000,80154,73410,,2,5,1968,2017,50,2006,292,2012,10.0,76,15.0,30,42,45,56,107,122,139,158.0
USGS,05325000,80154,73410,,2,6,1968,2017,50,2006,269,2012,10.0,76,15.0,29,38,45,56,106,118,140,156.0
USGS,05325000,80154,73410,,2,7,1968,2017,50,2006,250,2012,10.0,75,15.0,29,34,41,56,106,118,144,155.0
USGS,05325000,80154,73410,,2,8,1968,2017,50,2006,235,2012,10.0,74,15.0,29,36,38,56,105,119,145,154.0
USGS,05325000,80154,73410,,2,9,1968,2017,50,2006,225,2011,11.0,74,15.0,26,36,38,56,105,120,147,153.0
USGS,05325000,80154,73410,,2,10,1968,2017,50,2006,216,2011,10.0,74,15.0,27,36,39,56,104,119,150,165.0
USGS,05325000,80154,73410,,2,11,1968,2017,50,2006,209,2011,10.0,74,19.0,28,35,40,56,102,119,147,165.0
USGS,05325000,80154,73410,,2,12,1968,2017,50,2006,203,2011,10.0,74,19.0,27,36,40,56,102,127,149,171.0
USGS,05325000,80154,73410,,2,13,1968,2017,50,2005,204,2011,9.0,75,16.0,28,37,41,56,101,126,148,190.0
USGS,05325000,80154,73410,,2,14,1968,2017,50,2005,298,2011,9.0,76,16.0,28,37,42,56,101,125,148,183.0
USGS,05325000,80154,73410,,2,15,1968,2017,50,2005,375,2011,9.0,77,16.0,25,37,40,56,100,124,145,170.0
USGS,05325000,80154,73410,,2,16,1968,2017,50,2005,426,2011,8.0,76,15.0,25,35,40,56,100,111,148,170.0
USGS,05325000,80154,73410,,2,17,1968,2017,50,2005,485,2011,9.0,78,14.0,25,34,40,56,98,111,149,170.0
USGS,05325000,80154,73410,,2,18,1968,2017,50,2005,499,2012,10.0,80,14.0,27,35,40,57,102,119,150,180.0
USGS,05325000,80154,73410,,2,19,1968,2017,50,2005,487,2012,10.0,83,19.0,30,38,42,56,114,128,154,184.0
USGS,05325000,80154,73410,,2,20,1968,2017,50,2005,453,2012,10.0,91,19.0,28,41,44,58,130,145,185,241.0
USGS,05325000,80154,73410,,2,21,1968,2017,50,2017,480,2012,10.0,98,19.0,26,41,45,60,126,134,185,368.0
USGS,05325000,80154,73410,,2,22,1968,2017,50,2017,470,2012,11.0,99,19.0,26,41,46,61,121,134,185,361.0
USGS,05325000,80154,73410,,2,23,1968,2017,50,2017,427,2012,11.0,99,19.0,27,40,42,66,121,147,186,341.0
USGS,05325000,80154,73410,,2,24,1968,2017,50,2017,382,2012,12.0,100,18.0,27,40,48,68,120,149,241,340.0
USGS,05325000,80154,73410,,2,25,1968,2017,50,2016,456,2009,12.0,107,16.0,25,39,47,80,128,150,273,374.0
USGS,05325000,80154,73410,,2,26,1968,2017,50,2016,580,2012,11.0,113,15.0,27,38,43,82,146,157,266,391.0
USGS,05325000,80154,73410,,2,27,1968,2017,50,1984,541,2012,10.0,119,16.0,29,36,41,82,156,174,280,451.0
USGS,05325000,80154,73410,,2,28,1968,2017,50,1992,756,2012,9.0,132,16.0,26,33,40,81,156,174,296,529.0
USGS,05325000,80154,73410,,2,29,1968,2016,13,1992,1020,2012,8.0,206,,12,48,60,81,300,356,788,
USGS,05325000,80154,73410,,3,1,1968,2017,50,1992,930,2012,7.0,132,15.0,23,32,38,80,161,175,283,484.0
USGS,05325000,80154,73410,,3,2,1968,2017,50,1992,1020,2012,6.0,134,15.0,20,32,38,78,161,175,264,560.0
USGS,05325000,80154,73410,,3,3,1968,2017,50,1992,1120,2012,5.0,134,14.0,24,35,38,85,150,169,244,533.0
USGS,05325000,80154,73410,,3,4,1968,2017,50,1992,802,2012,8.0,127,14.0,22,38,47,87,152,171,231,505.0
USGS,05325000,80154,73410,,3,5,1968,2017,50,1992,671,2012,14.0,125,17.0,20,38,47,90,161,175,229,439.0
USGS,05325000,80154,73410,,3,6,1968,2017,50,1992,604,1976,14.0,130,20.0,26,36,46,90,174,195,286,433.0
USGS,05325000,80154,73410,,3,7,1968,2017,50,1992,520,1976,14.0,133,25.0,31,38,43,93,176,214,331,431.0
USGS,05325000,80154,73410,,3,8,1968,2017,50,2016,493,1976,17.0,134,26.0,31,37,45,97,188,213,322,423.0
USGS,05325000,80154,73410,,3,9,1968,2017,50,2016,517,1970,19.0,131,24.0,35,38,44,102,187,207,305,370.0
USGS,05325000,80154,73410,,3,10,1968,2017,50,2016,509,1970,20.0,138,29.0,35,40,42,104,190,218,321,442.0
USGS,05325000,80154,73410,,3,11,1968,2017,50,1997,710,1970,22.0,154,30.0,32,42,47,107,210,231,319,553.0
USGS,05325000,80154,73410,,3,12,1968,2017,50,1997,800,1970,22.0,164,28.0,34,41,52,111,228,290,330,553.0
USGS,05325000,80154,73410,,3,13,1968,2017,50,1977,1300,1970,24.0,195,31.0,38,48,52,121,260,288,370,813.0
USGS,05325000,80154,73410,,3,14,1968,2017,50,1977,1190,1979,24.0,227,31.0,49,56,64,151,286,345,537,849.0
USGS,05325000,80154,73410,,3,15,1968,2017,50,2010,1200,1979,24.0,244,36.0,47,58,67,152,343,414,579,873.0
USGS,05325000,80154,73410,,3,16,1968,2017,50,2010,1190,1979,25.0,243,38.0,42,70,83,159,370,458,515,731.0
USGS,05325000,80154,73410,,3,17,1968,2017,50,2010,1030,1979,25.0,249,35.0,54,70,80,179,413,471,554,797.0
USGS,05325000,80154,73410,,3,18,1968,2017,50,1971,938,1979,33.0,265,35.0,48,72,83,188,412,461,680,782.0
USGS,05325000,80154,73410,,3,19,1968,2017,50,2011,841,1990,30.0,261,35.0,43,72,78,175,428,459,587,734.0
USGS,05325000,80154,73410,,3,20,1968,2017,50,2011,841,1981,33.0,258,35.0,56,74,84,192,433,458,489,634.0
USGS,05325000,80154,73410,,3,21,1968,2017,50,1969,808,1970,36.0,279,49.0,55,71,81,229,416,435,613,714.0
USGS,05325000,80154,73410,,3,22,1968,2017,50,1997,800,1970,35.0,289,46.0,60,77,83,220,404,497,697,769.0
USGS,05325000,80154,73410,,3,23,1968,2017,50,1997,882,1968,20.0,272,41.0,56,75,85,212,385,460,645,776.0
