datetimeUTC,USGS:440050094102801:72019:00001,USGS:440050094102801:72019:00001_qualifiers,USGS:440050094102801:72019:00002,USGS:440050094102801:72019:00002_qualifiers,USGS:440050094102801:72019:00003,USGS:440050094102801:72019:00003_qualifiers
1993-10-02 00:00:00+00:00,72.01,A,71.93,A,71.98,A
1993-10-03 00:00:00+00:00,71.97,A,71.81,A,71.88,A
1993-10-04 00:00:00+00:00,72.04,A,71.83,A,71.94,A
1993-10-05 00:00:00+00:00,72.07,A,71.96,A,72.03,A
1993-10-06 00:00:00+00:00,71.98,A,71.9,A,71.93,A
1993-10-07 00:00:00+00:00,71.95,A,71.89,A,71.92,A
1993-10-08 00:00:00+00:00,72.04,A,71.95,A,71.98,A
1993-10-09 00:00:00+00:00,72.2,A,72.04,A,72.15,A
1993-10-10 00:00:00+00:00,72.17,A,72.07,A,72.12,A
1993-10-11 00:00:00+00:00,72.07,A,71.93,A,72.0,A
1993-10-12 00:00:00+00:00,72.14,A,72.0,A,72.07,A
1993-10-13 00:00:00+00:00,72.16,A,72.08,A,72.12,A
1993-10-14 00:00:00+00:00,72.12,A,72.03,A,72.08,A
1993-10-15 00:00:00+00:00,72.12,A,71.99,A,72.05,A
1993-10-16 00:00:00+00:00,72.12,A,72.03,A,72.07,A
1993-10-17 00:00:00+00:00,72.14,A,72.05,A,72.08,A
1993-10-18 00:00:00+00:00,72.21,A,72.14,A,72.17,A
1993-10-19 00:00:00+00:00,72.24,A,72.21,A,72.22,A
1993-10-20 00:00:00+00:00,72.24,A,72.18,A,72.21,A
1993-10-21 00:00:00+00:00,72.34,A,72.21,A,72.29,A
1993-10-22 00:00:00+00:00,72.39,A,72.33,A,72.36,A
1993-10-23 00:00:00+00:00,72.33,A,72.24,A,72.28,A
1993-10-24 00:00:00+00:00,72.28,A,72.21,A,72.24,A
1993-10-25 00:00:00+00:00,72.29,A,72.16,A,72.21,A
1993-10-26 00:00:00+00:00,72.43,A,72.26,A,72.35,A
1993-10-27 00:00:00+00:00,72.42,A,72.08,A,72.3,A
1993-10-28 00:00:00+00:00,72.2,A,71.94,A,72.05,A
1993-10-29 00:00:00+00:00,72.44,A,72.18,A,72.28,A
1993-10-30 00:00:00+00:00,72.47,A,72.38,A,72.43,A
1993-10-31 00:00:00+00:00,72.47,A,72.38,A,72.41,A
1993-11-01 00:00:00+00:00,72.45,A,72.34,A,72.37,A
1993-11-02 00:00:00+00:00,72.43,A,72.37,A,72.39,A
1993-11-03 00:00:00+00:00,72.38,A,72.18,A,72.26,A
1993-11-04 00:00:00+00:00,72.23,A,72.1,A,72.15,A
1993-11-05 00:00:00+00:00,72.46,A,72.23,A,72.38,A
1993-11-06 00:00:00+00:00,72.49,A,72.39,A,72.45,A
1993-11-07 00:00:00+00:00,72.43,A,72.31,A,72.35,A
1993-11-08 00:00:00+00:00,72.58,A,72.43,A,72.52,A
1993-11-09 00:00:00+00:00,72.64,A,72.55,A,72.59,A
1993-11-10 00:00:00+00:00,72.66,A,72.46,A,72.57,A
1993-11-11 00:00:00+00:00,72.56,A,72.41,A,72.48,A
1993-11-12 00:00:00+00:00,72.56,A,72.2,A,72.39,A
1993-11-13 00:00:00+00:00,72.43,A,72.03,A,72.21,A
1993-11-14 00:00:00+00:00,72.52,A,72.4,A,72.44,A
1993-11-15 00:00:00+00:00,72.61,A,72.52,A,72.55,A
